# Time-averaged data for fix 2
# TimeStep c_v[1] c_v[2] c_v[3] c_v[4]
4850 -0.237708 0.278477 0.126178 0.166947
4855 -0.263347 0.251506 0.0911402 0.0792994
4860 -0.272683 0.214269 0.0438933 -0.0145209
4865 -0.265448 0.169823 -0.0135628 -0.109188
4870 -0.242411 0.120947 -0.0773 -0.198764
4875 -0.205115 0.0706704 -0.14161 -0.276055
4880 -0.155754 0.0224325 -0.199938 -0.333259
4885 -0.0968773 -0.0203736 -0.24609 -0.363341
4890 -0.0313264 -0.0551817 -0.274963 -0.361472
4895 0.0376096 -0.0805894 -0.283266 -0.326245
4900 0.106511 -0.0960833 -0.269992 -0.259564
4905 0.171693 -0.101729 -0.236485 -0.166521
4910 0.22898 -0.0980849 -0.186257 -0.0553617
4915 0.274038 -0.0857755 -0.124256 0.0640064
4920 0.303464 -0.0651956 -0.055973 0.182295
4925 0.315208 -0.0375378 0.0130566 0.290727
4930 0.308713 -0.0051171 0.0783112 0.381907
4935 0.284631 0.0290488 0.136467 0.450147
4940 0.244873 0.0618549 0.185015 0.491744
4945 0.192562 0.0904431 0.222447 0.505453
4950 0.131248 0.112658 0.247918 0.491823
4955 0.065196 0.127224 0.261066 0.453486
4960 -0.000840855 0.133673 0.26227 0.395103
4965 -0.0624651 0.131892 0.252343 0.32177
4970 -0.116377 0.122472 0.232168 0.238262
4975 -0.160503 0.106907 0.202781 0.149185
4980 -0.194157 0.0870135 0.165066 0.0579223
4985 -0.217507 0.0648025 0.120029 -0.0326759
4990 -0.231069 0.0414209 0.0693042 -0.120344
4995 -0.235614 0.016756 0.0151278 -0.20373
5000 -0.231745 -0.00996589 -0.0397232 -0.281434
5005 -0.220217 -0.0398215 -0.0919802 -0.352019
5010 -0.202411 -0.0731831 -0.138092 -0.413686
5015 -0.18007 -0.108956 -0.174567 -0.463594
5020 -0.15524 -0.144505 -0.198451 -0.498196
5025 -0.130526 -0.176101 -0.207611 -0.514238
5030 -0.108811 -0.1998 -0.201172 -0.509784
5035 -0.0925903 -0.212669 -0.179404 -0.484663
5040 -0.0833202 -0.213131 -0.143968 -0.440418
5045 -0.0812767 -0.200852 -0.0981365 -0.380265
5050 -0.0856466 -0.176635 -0.0465245 -0.308806
5055 -0.0942354 -0.142402 0.00562902 -0.231008
5060 -0.103927 -0.10051 0.0530395 -0.151397
5065 -0.111447 -0.0531834 0.0912346 -0.0733963
5070 -0.114136 -0.0022636 0.117232 0.000833017
5075 -0.110355 0.0501779 0.129723 0.0695462
5080 -0.0992309 0.101972 0.129217 0.131958
5085 -0.0807037 0.150986 0.117284 0.187566
5090 -0.0551799 0.194895 0.0956025 0.235318
5095 -0.0235198 0.230341 0.0656841 0.272506
5100 0.0125891 0.253301 0.0291748 0.295065
5105 0.0506852 0.260187 -0.0116254 0.299246
5110 0.0877233 0.248487 -0.0538511 0.282359
5115 0.12055 0.217539 -0.0943101 0.243779
5120 0.146637 0.169284 -0.129755 0.186166
5125 0.164244 0.10812 -0.157324 0.115039
5130 0.172541 0.0399842 -0.17461 0.0379151
5135 0.171649 -0.0286631 -0.179843 -0.0368567
5140 0.162421 -0.0914752 -0.171892 -0.100946
5145 0.145917 -0.14323 -0.150134 -0.147448
5150 0.123333 -0.180268 -0.114792 -0.171726
5155 0.0956763 -0.200881 -0.0676164 -0.172821
5160 0.0638707 -0.205367 -0.0120246 -0.153521
5165 0.0294241 -0.195547 0.0471296 -0.118993
5170 -0.00576363 -0.173959 0.104358 -0.0753639
5175 -0.0396327 -0.143866 0.154415 -0.0290838
